features,importances
right_team_tired_mean,11922
left_team_tired_mean,11508
ball_y,8040
ball_x,6999
ball_z,6318
steps_left_bin,5541
owned_ball_distance_horizontal,4347
last_match_goal_position_mean_x,4268
owned_player_position_y,2722
last_match_goal_position_mean_y,2644
owned_player_position_x,2046
last_match_goal_position_mean_z,1720
